assists,damages,deaths,denies,duration,hero_id,isRadiant,is_win,kda,kills,last_hits,match_id,radiant_win
3,7601,8,9,1376,18,false,false,0,5,121,3317401627,true
9,35499,3,11,2472,13,false,true,4,10,317,3317510064,false
3,28453,5,15,2113,81,false,true,3,17,266,3317615290,false
2,11687,7,25,2246,74,false,false,1,7,292,3317704146,true
14,30554,15,18,2258,4,true,false,1,7,128,3317786837,false
16,41279,9,27,3265,13,false,false,2,7,323,3319214729,true
6,19433,16,11,1926,25,false,false,0,5,226,3319354090,true
15,30995,7,18,2037,13,true,true,3,14,187,3319496431,true
11,17170,7,11,1912,13,true,true,1,4,175,3319616185,true
12,68114,5,16,3523,74,true,false,5,21,538,3319692869,false
19,48628,3,1,2697,106,true,true,7,11,428,3321452410,true
8,22856,2,13,2161,9,false,false,5,8,207,3321564940,true
3,24196,11,5,2315,45,false,false,0,5,176,3321659236,true
3,20411,12,16,2286,13,true,false,0,9,247,3321735407,false
27,29287,1,8,2378,57,true,true,17,8,291,3321804466,true
10,22736,5,22,2881,18,false,true,3,8,427,3323320578,false
9,32291,9,9,2861,18,true,true,1,8,437,3323427165,true
6,13268,4,12,1852,109,true,false,2,5,266,3323567169,false
23,34291,11,4,3135,7,false,false,2,12,162,3323635784,true
14,27602,3,17,2458,81,false,true,5,7,318,3325361913,false
16,34395,4,18,2670,74,false,true,6,17,347,3325463643,false
7,14035,9,7,1749,106,false,false,1,7,139,3325557604,true
16,51598,8,9,2984,74,false,true,3,16,356,3331593425,false
12,25851,3,6,1531,9,true,true,6,14,153,3331736117,true
15,32994,7,22,3414,109,true,false,3,13,560,3331807173,false
10,38342,8,16,2511,74,true,false,2,11,233,3331930129,false
8,28001,8,4,2292,13,true,false,2,14,169,3333821424,false
10,30348,6,26,2140,104,true,true,3,16,172,3333905039,true
3,12268,7,0,1410,17,true,false,1,5,150,3335335336,false
5,22981,8,8,2558,9,true,false,1,8,342,3335407861,false
6,7669,5,6,1463,19,false,false,1,3,102,3335518576,true
15,55585,4,18,2613,76,true,true,8,26,288,3335606555,true
19,55554,11,12,2826,34,false,false,1,4,326,3335708011,true
17,46814,12,15,2997,45,true,false,1,7,303,3335807218,false
2,13041,1,21,1711,13,false,false,3,4,180,3335899136,true
9,17561,4,18,2773,77,true,true,3,6,282,3337537868,true
13,39234,7,21,2171,15,false,false,3,15,213,3337645399,true
3,4640,0,14,935,49,true,true,8,5,93,3337727957,true
16,28559,11,6,2950,17,false,false,2,16,353,3337799215,true
13,22242,8,15,2089,40,false,false,1,3,230,3339543543,true
11,42170,4,11,2105,13,true,true,7,24,184,3339641655,true
15,46216,1,16,2888,17,false,false,15,15,355,3339723084,true
17,10136,3,0,1994,7,true,true,5,3,90,3339818562,true
19,43167,7,6,2828,106,false,false,3,7,370,3340648059,true
12,14799,1,10,1597,49,true,true,11,10,174,3340756199,true
8,24280,1,18,1979,13,true,true,9,11,216,3340826331,true
15,29231,6,21,2616,49,false,true,3,8,228,3341704109,false
5,10868,0,10,1226,52,true,true,13,8,167,3341807939,true
15,66584,3,10,2423,67,false,true,12,33,269,3343407982,false
20,10676,2,3,2098,29,true,true,7,3,183,3343510146,true
6,24392,5,9,2660,18,true,false,3,14,289,3351961375,false
17,37312,5,4,3137,18,false,false,4,11,500,3352061045,true
2,7789,5,13,1005,72,true,false,0,1,71,3352291980,false
15,20635,0,10,1865,63,true,true,29,14,195,3352328440,true
15,16502,5,6,2824,18,false,true,3,3,369,3353901258,false
19,21034,3,11,2047,63,true,true,6,8,221,3353994974,true
3,5280,3,3,1491,109,false,false,1,2,176,3354180190,true
19,42444,3,3,3861,63,true,true,7,11,583,3354220626,true
3,7071,4,15,2069,95,true,false,1,3,258,3355657953,false
13,43301,0,11,2988,63,false,true,30,17,399,3355751343,false
8,23073,4,31,2731,15,true,false,2,5,318,3356009819,false
23,65083,6,16,7688,74,false,true,5,13,1109,3356083896,false
17,28299,5,11,2826,63,true,false,4,8,295,3356371427,false
2,9786,1,8,1697,10,false,true,4,7,237,3356461133,false
7,17261,10,1,2333,73,false,false,1,5,363,3357986778,true
9,21039,4,6,2669,18,false,false,3,9,359,3358068997,true
10,26125,1,14,1603,7,false,true,14,19,132,3360522034,false
1,5043,7,2,1996,18,true,false,0,1,207,3362675038,false
17,45752,7,27,3026,39,true,false,4,17,413,3362767821,false
16,32787,3,12,1994,9,true,true,8,16,195,3364301485,true
5,15897,7,18,1754,74,false,false,1,4,189,3364415064,true
3,4609,0,19,571,9,false,true,8,5,55,3364465162,false
12,33312,9,9,2355,9,true,false,3,18,231,3364484983,false
20,46184,3,10,1711,106,true,true,10,21,133,3374326548,true
17,23026,6,12,1528,9,true,true,5,18,145,3374412939,true
5,15061,6,17,2316,8,true,false,1,5,275,3374487617,false
14,26749,8,7,2987,74,true,true,2,10,404,3374579235,true
0,10301,3,36,1773,95,false,false,1,7,206,3374690499,true
17,28257,4,6,3002,18,false,true,6,13,402,3376393036,false
18,30469,6,15,1983,52,true,true,4,16,258,3376539502,true
17,55091,6,2,3241,73,false,false,3,8,638,3376628916,true
13,43264,9,12,2596,47,false,false,2,16,335,3376756715,true
9,15117,2,24,1921,36,true,true,6,9,226,3376869798,true
15,23769,5,4,2484,49,true,true,4,9,297,3376989109,true
3,26549,1,34,2567,1,false,true,7,12,658,3378494460,false
16,20922,8,23,2404,47,true,true,2,8,282,3378626574,true
13,21963,2,9,1506,45,false,true,7,10,142,3378740351,false
4,18201,11,3,2270,73,true,false,0,3,272,3378830167,false
8,12188,2,24,1496,74,true,true,5,9,179,3378925569,true
16,26796,5,12,2501,13,true,true,3,6,314,3378993841,true
8,13935,1,8,1627,73,true,true,8,9,313,3379079503,true
8,40669,6,9,2521,99,false,false,2,7,326,3379139132,true
6,21770,4,28,2165,39,true,true,3,11,200,3380418877,true
6,21398,4,5,1872,9,true,false,2,6,193,3380557408,false
0,11495,8,11,1665,106,false,false,0,3,173,3380654477,true
1,4771,5,10,949,75,true,false,0,1,70,3380745534,false
17,27150,3,8,1637,40,true,true,6,9,174,3380804343,true
5,11984,5,10,1392,52,false,false,1,3,106,3380888818,true
11,5143,1,13,1575,8,true,true,8,6,146,3381045187,true
4,12479,3,14,1439,47,true,false,1,3,184,3381184799,false
7,10294,7,13,1853,95,false,false,1,5,183,3381239453,true
11,42979,1,17,2406,17,true,true,15,20,358,3381928474,true
13,42749,8,7,2810,73,true,true,3,14,429,3382019781,true
9,30159,3,5,2422,73,false,true,5,11,472,3382104710,false
19,47583,6,9,3088,18,false,true,4,14,448,3383053731,false
2,6009,1,8,611,36,true,true,5,8,65,3383177095,true
16,38392,5,23,2884,74,true,true,5,16,455,3383216991,true
4,13567,6,9,2183,75,false,false,1,4,165,3383358104,true
11,24588,2,16,2102,39,true,true,7,12,224,3383429710,true
2,9204,4,2,1613,73,true,false,0,2,255,3384111770,false
15,48306,4,13,2439,40,false,true,4,9,323,3384162166,false
18,34452,16,3,3111,2,false,true,2,16,156,3384240173,false
13,29148,3,12,2702,45,false,true,6,11,398,3384924192,false
17,25921,3,16,2700,41,false,true,7,13,445,3385072030,false
0,18499,3,13,2227,74,true,false,2,10,334,3385483366,false
16,35045,8,14,3738,49,false,false,3,12,403,3385618393,true
6,11605,6,20,2186,109,false,false,1,4,323,3387289942,true
3,8650,3,3,1218,35,false,true,2,8,114,3387504499,false
9,32208,2,6,2267,12,false,true,9,18,386,3387629390,false
